0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
52,8654,13100,13028,7335,2379,6166,12553,5149,12943,13020,13158,8578,1565,13006,1272,1408,12611,10749,13089,13055
53,10142,14965,15003,14843,10651,4672,14932,10823,14769,3139,15060,15137,7650,7736,5622,13594,14875,14846,4762,14462
54,11995,9239,9434,9384,11262,6513,11607,6645,6199,10850,6618,11500,11755,11904,11967,11409,10857,11562,11831,11999
55,13100,8654,13158,1408,13020,13023,5711,12397,5552,13006,8578,13055,12611,6147,13089,12041,1565,10749,1272,12943
56,155,13100,8654,12682,13109,10755,10324,8142,8578,12943,13023,13158,10749,12041,6147,13020,12611,13055,1565,12397
57,10651,14965,14843,14932,4672,10142,15003,15060,14527,10823,7736,13594,14898,15137,14875,14769,5622,14846,7650,14462
58,127,13100,8654,12682,13109,10755,10324,8142,13055,8578,13158,1272,5552,5711,12397,13023,12041,6147,13006,12611
59,11831,9384,6199,6645,11607,9434,11262,9239,6513,11634,10912,17555,11999,17402,11562,10857,11093,3253,8112,11941
60,3118,15146,7751,7391,8503,9940,14885,10329,4644,14901,15340,15251,7744,14918,7723,4640,3609,2260,4149,683
61,11262,11607,9434,9384,6645,9239,6513,6199,11935,2158,11831,10857,11562,11999,10944,11980,11820,10194,11924,11939
62,284,15381,7466,2689,7373,3057,5502,9464,14502,5864,13223,979,1371,1766,219,13256,12340,6932,13358,9116
63,32,6645,9384,9239,11607,6513,11262,9434,6199,47,3402,11999,10857,11831,11562,3193,12024,10850,12008,3039
64,14454,14843,4672,10142,15003,10651,14965,3410,14932,1768,290,276,13277,797,14527,14769,15060,7736,14898,14875
65,11481,6625,9325,6618,5229,16956,11541,4681,11461,9482,14932,15003,10142,10651,4672,14843,14965,11957,10340,9395
66,1139,12949,149,8012,8654,13100,13360,13609,13876,12941,5673,11835,1573,2992,13573,13691,6101,9671,8996,12277
67,8552,12808,6989,10944,7555,9456,10194,852,13128,9317,7302,12691,8511,13058,9669,10466,8794,5925,5314,4365
68,10340,267,14351,10142,15003,14965,10651,14932,14843,4672,13254,3556,6101,10599,13266,14052,4681,14153,10953,7567
69,8569,11689,8387,11971,15320,4287,11919,10854,10814,6618,12016,4840,6318,15267,1970,9660,17385,5137,11837,6396
70,3856,9039,14680,7056,10815,9456,12750,8552,12808,4672,15003,10651,14843,14932,14965,10142,13094,9669,9395,9640
71,3201,3184,7858,3632,4192,2676,3121,3615,1056,2177,4186,6093,4314,3723,4386,2794,3318,2936,4937,2872
72,3184,1443,1614,3615,6105,5786,6093,3476,3320,1885,4481,1925,2753,1135,2085,417,5078,5598,5211,3201
73,7858,1704,3856,5715,12487,15003,14932,10651,4672,14843,14965,10142,12920,7335,12958,7748,17637,8848,12836,10117
74,1748,13932,13265,14843,15003,51,10142,14965,10651,4672,14932,10599,10340,229,14351,6189,3394,867,14527,18228
75,3201,5786,6093,5556,4590,1137,3184,2878,4386,4481,1045,1158,3093,2163,615,3090,5734,848,5716,3541
76,10340,14351,36,1271,1338,214,10651,34,4672,15003,10142,14932,14965,14843,13254,10599,6101,13266,14052,4681
77,367,611,386,190,15152,15129,14450,14462,7298,5612,3603,14751,8573,15003,10651,10142,14843,4672,14965,14932
78,9687,13100,8654,12750,9288,12929,10319,12343,12546,6142,265,91,13055,1565,8578,5552,1408,12611,5711,13089
79,13100,8654,10739,2984,10608,10877,3146,8578,16519,12943,5711,1565,12041,12611,13089,10749,1408,5552,1272,13158
80,1578,10878,275,41,11883,11996,2839,15116,1077,12029,10142,10651,15003,14843,4672,14965,14932,909,2922,15008
81,10850,6199,11607,37,1770,6645,9384,6513,11262,9434,9239,4840,11654,9560,11714,6571,11849,10857,11562,11971
82,1077,10857,9434,6645,9239,11262,6199,9384,6513,11607,10854,6179,6517,6294,11355,2255,3362,6204,14602,10850
83,13573,2992,13416,8633,3188,18598,10041,6101,14024,6222,13985,10742,6175,15003,14965,14843,10651,14932,4672,10142
84,3184,5211,3615,6093,6098,6989,243,5110,1443,1885,4481,376,5492,5249,6412,4941,2495,6059,4789,4811
85,379,2195,13100,8654,11780,1408,5711,13006,12041,13020,10749,13089,12943,12397,1272,13055,13023,5552,12611,8578
86,925,6618,8443,10388,11681,6556,4681,9617,11871,10850,11078,5143,9771,5944,6625,11721,2701,6623,4808,11899
87,10850,6199,9434,9384,9239,11607,11262,6513,6645,278,429,11654,4840,9560,476,11849,11714,6571,11971,10857
88,12,26,13573,2992,3188,8633,13416,18598,10041,6101,11202,6222,14024,13985,10742,6175,10651,14843,4672,15003
89,1397,7556,12442,8550,12300,8607,12628,12824,7663,12757,12957,1417,2921,9572,12992,4726,8604,8525,13098,6560
90,15003,14965,14843,10651,4672,10142,14932,7736,3139,7650,5622,15060,14769,14898,14875,14462,14862,14846,10823,14527
91,9687,13100,8654,10319,12929,9288,12750,7598,6142,12343,12546,78,13006,1272,8578,12397,13089,12943,12041,12611
92,3632,3184,5521,3586,3998,1493,3615,6093,3201,6100,1443,1885,4481,3625,1325,6733,607,436,6672,301
93,7858,3856,5715,12487,10651,14843,14965,14932,10142,4672,15003,7335,12920,12958,589,17637,7748,10117,8848,12836
94,7751,17860,3856,10400,4087,6124,9593,10329,9687,9940,12750,12445,7434,3118,551,12057,17960,9544,3759,2427
95,11689,6569,10868,14217,14126,17,11203,7998,6517,10854,5137,6562,9307,13371,174,7775,7506,9328,10394,14237
96,7335,8848,8654,13100,13028,7858,3856,1730,5031,9426,8920,13117,17637,7337,9687,9940,10329,12750,15472,7405
97,13100,8654,12397,12611,10749,1408,13020,13023,13158,8578,12041,13089,1565,5552,6147,12943,13006,13055,5711,1272
98,8654,13100,8578,13055,13023,6147,13020,13158,1272,13006,10749,13089,5711,1408,12943,1565,12041,12611,12397,5552
99,3184,3615,1443,1885,1523,2495,6093,6059,307,2472,4481,1057,103,6165,699,2873,1276,6037,5211,2453
100,10857,12008,11262,11607,9384,6199,9239,9434,6645,6513,6297,315,11865,9720,11831,11562,11999,10091,11231,11354
101,1077,14279,10857,11262,6199,11607,9434,9239,9384,6513,6645,11444,10091,13284,10850,10815,7820,14680,13175,12008
102,2992,13573,3188,8633,13416,18598,6101,10041,13985,14024,6222,10742,6175,14965,14843,10142,15003,10651,14932,4672
103,3184,2818,4526,4534,3615,699,6093,99,2877,4672,10142,14932,15003,14965,10651,14843,4481,847,4818,1523
104,10329,9940,9426,7751,1820,7723,14918,4073,8920,7337,9718,14400,14038,4265,6154,15080,9513,8985,8913,13266
105,4672,14932,14965,15003,10142,14843,10651,1136,782,835,613,7736,5622,13594,4762,15060,14769,14527,14462,7650
106,304,13058,7302,17802,8626,15644,17828,13031,13134,8997,7555,7434,9465,149,1505,18046,8064,13100,8654,6888
107,10329,9940,1454,10147,16489,18898,7723,7335,14918,14483,1173,1445,9909,219,493,14477,1219,1406,1540,1499
108,7056,14680,10815,10651,14843,14965,15003,14932,10142,4672,7820,9395,7586,7038,15126,1754,10823,4762,5622,7650
109,13573,13416,10742,6101,2992,10815,18379,7056,14680,14351,6175,7796,11027,11721,4586,13371,3188,2917,9395,8633
110,10857,11999,9434,11262,9384,6513,6645,6199,9239,11607,1251,8914,6419,2108,11261,12008,6524,10555,7772,17527
111,14351,4287,15320,15093,4144,8448,12012,5720,9427,4387,9339,9660,18649,11971,14523,6101,7829,14308,8457,14790
112,9593,7751,10565,7744,15340,15251,12091,13091,7730,10747,8654,13100,4099,7484,4610,3121,12517,5741,9940,15335
113,7858,3856,5715,8920,14843,4672,14965,15003,14932,10142,10651,594,12920,12487,17637,7748,12355,12836,10117,6051
114,4672,10651,10142,14843,14932,14965,15003,9156,7337,5715,6960,7293,3146,3856,10829,16953,15060,15137,10823,14875
115,8765,12808,8552,6989,10944,3270,10317,10608,13904,7555,9456,8794,10194,15168,5723,8511,13058,12691,7302,9317
116,13100,8654,13055,12397,1565,10749,13023,13158,13020,1272,12611,13006,13089,12041,1408,8578,5552,12943,6147,5711
117,9660,10921,7610,14081,14300,14066,9630,15320,4287,14308,5137,13822,13637,9603,14118,10939,8832,9395,14018,9547
118,10850,9384,9434,9239,6645,11262,6199,11607,6513,4840,9560,11654,11849,11714,6571,10857,11999,11562,11971,11831
119,6618,10854,12016,471,11971,15320,4287,162,1150,2116,9655,9123,2297,8569,14351,11500,925,11689,8443,1800
120,14259,4672,14965,10651,15003,14843,10142,14932,3856,10823,14846,5622,15060,13594,7736,14527,7650,14462,14769,14862
121,8503,10329,9940,14885,14684,18898,16489,1215,7335,14918,7723,5186,4480,5187,2471,2467,14467,5178,14469,12263
122,10651,14843,10142,14965,14932,4672,15003,2207,14989,4307,12,13594,14769,5622,7736,10823,14527,14862,3139,14875
123,9660,10194,9630,14066,14300,14081,7610,13170,10921,1178,18445,10509,5137,13059,14308,9914,211,13447,13845,12251
124,260,325,10850,9239,9434,11607,9384,6199,11262,6645,6513,461,9560,11654,4840,11849,11714,6571,170,279
125,14502,9464,7373,13394,14012,4021,8914,12018,2279,9192,14989,13789,8684,3859,7391,13767,8393,10193,943,4915
126,4287,15320,544,237,11971,9660,8569,14081,6618,14300,14351,9630,8502,7610,14066,172,515,7711,5643,4144
127,58,9156,10194,10834,10829,10509,12091,7551,12982,8654,13100,9298,7574,7293,10912,3129,11004,10208,3198,7169
128,13858,8539,12298,9359,4672,10651,14843,15003,14965,10142,14932,570,10758,12546,5491,5500,5529,11354,8222,8152
129,5723,15168,9445,4558,10770,4299,6517,14312,4564,11689,10868,14217,14126,8147,9514,7101,15246,10394,14064,9749
130,46,195,13100,8654,3146,6147,13089,13023,1565,12943,8578,5711,1272,13020,12611,13006,13158,10749,1408,12041
131,9593,7751,10565,15340,7744,15251,12091,13091,7730,10747,8654,13100,4610,3121,12517,5741,7484,4099,10329,15335
132,373,9,10194,7574,7863,9777,3478,10509,17385,11837,3270,10317,4612,11002,6396,1894,2270,8139,11143,5030
133,9687,13100,8654,9288,12750,12929,10319,12546,12343,6142,12111,3056,13089,8578,13158,13006,13055,10749,12397,13020
134,3184,533,3615,1443,1885,6105,1282,5664,213,5211,2495,6093,6059,3320,4386,408,4481,2472,1057,5580
135,7434,7302,13058,10846,12813,8626,12251,8497,9687,12691,7555,13031,8064,1505,7405,12762,12855,12927,12808,8552
136,225,665,11002,5457,5229,8503,10329,9940,7405,11139,4997,11708,17254,6934,6629,15067,18898,10857,16489,8552
137,7434,13058,7302,10846,12813,8626,12251,8497,12691,9687,13031,7555,8064,1505,2104,7405,12762,12855,12927,0
138,1077,7751,3057,10329,9940,6638,10976,6275,10878,11648,15251,7744,10857,15340,7723,14918,10021,457,266,11914
139,3184,3615,1443,1885,674,5211,6093,2495,6059,6098,4481,1057,2472,3459,5201,6438,84,5836,5633,5492
